# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
61, 68, 125, 127, 0.9997, 0.7998, 1.9993, 6, 7
61, 71, 99, 0, 0.9996, 0.7268, 2.0066, 4, 5
61, 73, 21, 56, 0.9978, 0.6945, 1.7957, 3, 4
61, 74, 90, 101, 0.9972, 0.6942, 0.8677, 3, 4
62, 18, 83, 34, 0.9997, 1.0000, 1.2747, 51, 51
62, 23, 87, 31, 0.9997, 1.0000, 0.7639, 46, 45
62, 47, 30, 5, 0.9997, 1.0000, 1.0417, 22, 23
62, 59, 125, 106, 0.9618, 0.6891, 7.5167, 15, 14
62, 67, 4, 6, 0.9996, 0.9178, 0.4715, 9, 10
62, 68, 127, 127, 0.9997, 0.8385, 1.9999, 7, 8
62, 71, 100, 0, 0.9997, 0.7623, 1.2768, 5, 6
62, 73, 22, 56, 0.9996, 0.7268, 1.2927, 4, 5
62, 74, 93, 102, 0.9995, 0.7268, 2.4019, 4, 5
62, 76, 60, 108, 0.9979, 0.6946, 1.3122, 3, 4
63, 18, 85, 34, 0.9997, 1.0000, 1.7075, 52, 52
63, 23, 87, 30, 0.9996, 1.0000, 0.4721, 47, 46
63, 47, 31, 5, 0.9997, 1.0000, 1.0000, 23, 24
63, 67, 7, 7, 0.9995, 0.9579, 2.2990, 10, 11
63, 68, 123, 121, 0.9886, 0.8693, 6.3088, 8, 9
63, 71, 102, 0, 0.9997, 0.7998, 1.7228, 6, 7
63, 73, 23, 56, 0.9997, 0.7623, 0.9999, 5, 6
63, 74, 95, 103, 0.9997, 0.7623, 2.4929, 5, 6
63, 76, 62, 108, 0.9996, 0.7268, 1.8102, 4, 5
63, 77, 74, 20, 0.9980, 0.6947, 1.0347, 3, 4
63, 78, 75, 116, 0.9980, 0.6947, 2.7752, 3, 4
64, 18, 87, 35, 0.9997, 1.0000, 2.1242, 53, 53
64, 47, 32, 4, 0.9997, 1.0000, 1.2841, 24, 25
64, 71, 103, 0, 0.9997, 0.8384, 1.2357, 7, 8
64, 73, 25, 55, 0.9997, 0.7998, 1.8762, 6, 7
64, 76, 64, 108, 0.9997, 0.7623, 2.0276, 5, 6
64, 77, 76, 26, 0.9981, 0.7259, 5.5833, 4, 5
64, 78, 77, 116, 0.9996, 0.7268, 2.2927, 4, 5
64, 79, 1, 80, 0.8302, 0.5774, 4.1645, 2, 3
65, 18, 89, 35, 0.9997, 1.0000, 2.0606, 54, 54
65, 47, 32, 5, 0.9996, 1.0000, 0.5134, 25, 26
65, 70, 86, 104, 0.9997, 0.6656, 2.5866, 10, 9
65, 71, 105, 0, 0.9997, 0.8779, 1.7485, 8, 9
65, 73, 26, 55, 0.9997, 0.8384, 1.3079, 7, 8
65, 76, 65, 108, 0.9997, 0.7998, 1.2743, 6, 7
65, 77, 90, 32, 0.5847, 0.4874, 14.0090, 5, 6
65, 78, 79, 116, 0.9997, 0.7623, 1.9989, 5, 6
66, 18, 90, 36, 0.9997, 1.0000, 1.4674, 55, 55
66, 42, 113, 123, 0.9997, 0.6831, 1.2358, 28, 28
